part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
A1,RBS,,,,,0.23;0.66;0.88,,,,,
RiboJ10,Ribozyme,,,,,0.00;0.41;0.22,,,,,
Vscar,Scar,,,,,0.00;0.00;0.00,,,,,
Xscar,Scar,,,,,0.00;0.00;0.00,,,,,
P3,RBS,,,,,0.98;0.64;0.15,,,,,
Cscar,Scar,,,,,0.00;0.00;0.00,,,,,
S3,RBS,,,,,0.00;0.41;0.22,,,,,
SrpR,CDS,,,,,0.00;0.41;0.22,,,,,
L3S2P55,Terminator,,,,,0.23;0.66;0.88,,,,,
pAmtR,Promoter,,,,,0.23;0.66;0.88,,,,,
pBAD,Promoter,,,,,0.00;0.00;0.00,,,,,
AmtR,CDS,,,,,0.23;0.66;0.88,,,,,
BydvJ,Ribozyme,,,,,0.23;0.66;0.88,,,,,
pSrpR,Promoter,,,,,0.00;0.41;0.22,,,,,
pTet,Promoter,,,,,0.00;0.00;0.00,,,,,
ECK120029600,Terminator,,,,,0.00;0.41;0.22,,,,,
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,
Escar,Scar,,,,,0.00;0.00;0.00,,,,,
ECK120033737,Terminator,,,,,0.98;0.64;0.15,,,,,
