SrNo,PreComputer,Espresspo
0,1,1
1,6,6
2,5,5
3,3,3
4,5,5
5,3,3
6,6,8
7,3,3
8,4,4
9,7,8
10,2,2
11,4,4
12,2,2
13,4,4
14,5,5
15,1,1
16,5,5
17,3,3
18,6,8
19,3,3
20,6,8
21,3,3
22,10,14
23,6,6
24,6,9
25,6,8
26,6,8
27,4,4
28,6,8
29,4,4
30,8,11
31,3,3
32,4,4
33,7,8
34,2,2
35,4,4
36,6,9
37,6,8
38,6,8
39,4,4
40,5,7
41,9,14
42,2,2
43,5,7
44,5,9
45,7,11
46,5,5
47,4,4
48,2,2
49,4,4
50,5,5
51,1,1
52,6,8
53,4,4
54,8,11
55,3,3
56,5,9
57,7,11
58,5,5
59,4,4
60,5,5
61,7,7
62,8,8
63,2,2
64,4,4
65,7,8
66,6,9
67,6,8
68,2,2
69,4,4
70,6,8
71,4,4
72,5,7
73,9,14
74,5,9
75,7,11
76,2,2
77,5,7
78,5,5
79,4,4
80,2,2
81,4,4
82,6,8
83,4,4
84,5,5
85,1,1
86,8,11
87,3,3
88,5,9
89,7,11
90,5,5
91,7,7
92,5,5
93,4,4
94,8,8
95,2,2
96,5,7
97,9,14
98,5,9
99,7,11
100,5,9
101,7,11
102,5,5
103,7,7
104,8,14
105,11,20
106,5,11
107,9,15
108,5,11
109,9,15
110,6,7
111,7,9
112,2,2
113,5,7
114,5,5
115,4,4
116,5,5
117,4,4
118,8,8
119,2,2
120,5,11
121,9,15
122,6,7
123,7,9
124,6,7
125,7,9
126,9,10
127,4,4
128,3,3
129,7,9
130,6,7
131,5,9
132,6,7
133,5,9
134,8,14
135,6,11
136,1,1
137,7,8
138,3,3
139,4,5
140,3,3
141,4,5
142,6,8
143,3,5
144,6,7
145,5,9
146,8,14
147,6,11
148,8,14
149,6,11
150,11,20
151,8,15
152,6,9
153,4,5
154,6,11
155,6,7
156,6,11
157,6,7
158,9,15
159,6,9
160,1,1
161,7,8
162,3,3
163,4,5
164,6,9
165,4,5
166,6,11
167,6,7
168,4,4
169,7,11
170,1,1
171,4,4
172,5,6
173,7,8
174,5,5
175,3,3
176,3,3
177,4,5
178,6,8
179,3,5
180,6,11
181,6,7
182,9,15
183,6,9
184,5,6
185,7,8
186,5,5
187,3,3
188,6,8
189,7,10
190,8,10
191,5,5
192,1,1
193,7,8
194,6,9
195,4,5
196,3,3
197,4,5
198,6,11
199,6,7
200,4,4
201,7,11
202,5,6
203,7,8
204,1,1
205,4,4
206,5,5
207,3,3
208,3,3
209,4,5
210,6,11
211,6,7
212,6,8
213,3,5
214,9,15
215,6,9
216,5,6
217,7,8
218,6,8
219,7,10
220,5,5
221,3,3
222,8,10
223,5,5
224,4,4
225,7,11
226,5,6
227,7,8
228,5,6
229,7,8
230,6,8
231,7,10
232,7,9
233,10,15
234,4,6
235,7,10
236,4,6
237,7,10
238,4,4
239,8,6
240,1,1
241,4,4
242,5,5
243,3,3
244,5,5
245,3,3
246,8,10
247,5,5
248,4,6
249,7,10
250,4,4
251,8,6
252,4,4
253,8,6
254,9,7
255,1,1
